review,cluster
impressed resort great staff main resort pool bar blast clean professional staff great location reasonable read read less,0
rooms nice outside needs work also no free breakfast would nice overall ok read read less,0
great location stayed hotel last three trips new york read read less,0
hotel adequate stay strips bathtub useless fell taking shower asked front desk staff several times get bath mat but never management unresponsive request poor someone gone dollar store gotten bath mat breakfast good but would nice yogurt andor cottage cheese buffet read read less,1
great location room large spacious parking easy appreciated friendly staff read read less,0
options fun great wish better policy lazy river floats lots people hoarding read read less,0
old musty motel bath need update asap read read less,0
loved layout hotel relaxing pool area con housekeepingmaintenance staff passing room carts speaking loudly radios read read less,1
wife loved everything it’s close everything everywhere will recommending others will definitely back read read less,0
rooms small told complimentary upgrade empire state building view room but regular room everything else ok read read less,0
clean friendly love location restaurant inside excellent food service bathrooms little small they’re vintage but overall would definitely stay read read less,1
nice comfortable good position near station subway read read less,0
location great lobby area nice but room needs upgraded read read less,0
quiet great location good control entrance elevators read read less,0
nice quiet clean rooms will return back area read read less,0
rooms clean updated beds comfortable read read less,0
staff exceptionally helpful property wasclose dining shopping ad well dineyland bery restful stay abd look forward staying future read read less,0
great needed place sleep parking day isn’t bad area floor pool located constant flow loud people storming down hallway poorly set since way pool probably put us since used third party booking site read read less,1
rooms clean two room able get right across location close john wayne airport mile disneyland mins car ride shuttle servise nearby restaurants available convenient also airport read read less,1
little off beaten path but ultimately places reasonably central location buena vista everything clean functional covered parking garage access roomy good beds friendly staff tho didnt time sample amenities nor special requests concerns read read less,1
room tiny building old worn inside needs updating walls thin bathroom needs updating flooring worn ripping staff wasn’t friendliest plan walking minutes time square security good thing hotel prepared add fees if purchase expedia call resort fees no idea it’s not resort read read less,1
awesome location easy access sights subway read read less,0
room not seem clean sort orange sticky glop bathroom counter travel size lotion provided already empty liked could text valet car waiting read read less,1
great location friendly staff room enough space read read less,0
real nice love go back soon will recommend family friends read read less,0
beautiful hotel friendly helpful staff walking distance light rail uneasy homeless encampment empty lot behind hotel way light rail read read less,1
beautiful art deco building foyer ornate stylish read read less,0
really close job interview nice morning breakfast location across street affiliation hotel nice guests read read less,0
rooms dirty aged breakfast poor quality limited choices read read less,0
stayed nights great service affordable price read read less,0
staff excellent always first choice look stay orlando stayed every year past years perfectly situated international dr grounds beautiful always feel safe would rate property jennifer front desk friendly helpful will back next year read read less,1
fine sink needed wiped down stains comforter read read less,1
great place room ants but comes outside doors lobby service great though read read less,0
enjoyed stay staff welcoming friendly chose location weekend friends booking room requested rollaway bed called front desk extra bed requested explained since two beds could not accommodate us rollaway give option booking but not available stay overall nice experience read read less,1
well kept but complimentary breakfast read read less,0
location around transportation system near main attraction within city good friendly staff will visit againclean rooms read read less,0
good value enjoyed day stay bicely appointed room read read less,0
rooms clean love make breakfast sandwiches read read less,0
sent parents anniversary trip wanted stay local but wanted get away heat riverside stayed two days said property secluded clean felt safe area hotel clean comfortable nice view staff friendly found reservation no issues downside pay per day parking parking private didnt worry car broken plus but extra cost didnt expect great location site seeing read read less,1
beautiful clean friendly staff variety activities adults children would definitely choose stay read read less,0
property advertised renovated four floors renovated renovation means basically new bedding stains ceiling leaking shower toilet didnt work peeling paint unpleasant manager asked change room seemed think nonworking toilet wasnt issue would not recommend nor ever stay property disappointing read read less,1
loved price location parks shuttle read read less,0
liked staff nice place clean will going back soon pool clean go pools resort minutes away magic kingdom read read less,0
great price lots cleanhospitality great convenient parks read read less,0
smooth stay well surely coming back hotel highly recommended read read less,0
excellent location great servicei highly recommended new yorker hotel winham read read less,0
rooms terribly small almost claustrophobic ice machine hard find attitude front desks read read less,0
made us pay gym facilities didn’t use optional fee came see new york not work read read less,1
well expect comfy bed clean modern bathroom reasonably well soundinsulated rooms good value great outer borough location unexpectedly nice shops restaurants within walking distance read read less,1
stayed nights place walkable disneyland convenient underground gated car parking staff courteous read read less,0
friendly staff clean property secure parking easy freeway access read read less,0
like everything hotel personal good services read read less,0
liked everything except smoking pools ruined outdoor relaxation smelled bad pools read read less,0
love alot pools but terms choices restaurants grand hotel limited good quality alright high prices paid nothing extravagant read read less,0
pool nice but staff rude could not get room clean read read less,0
pool super dirty jacuzzi water bit yellowish color room clean but carpet super dirty carpets needs deep clean wear socks rooms also tends get stuffy quick worst assistant horrible service rude unattentive felt rushed didnt try give us information hotel except room accept strictly debit cards major credit cards dollars deposit depending if kids not if attendant helped friendly wouldnt mind much flaws but honesty didnt even get smile booked rooms but im not saying employees like but say never gotten kind acknowledgement employees works no one greets read read less,1
